,ID,PROJECT_NAME,NAME,DURATION,CREATED,STARTED_BY,PASSED,FAILED,SKIPPED,BROKEN
84,10033,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #838,22.820866666666667,2023-04-04 07:31:53,system,77,85,0,3
85,9985,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #836,29.450866666666666,2023-04-03 07:31:41,system,0,165,0,0
86,9974,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #835,28.1719,2023-04-02 07:31:25,system,5,160,0,0
87,9964,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #834,21.99158333333333,2023-04-01 07:31:52,system,75,88,0,2
88,9930,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #833,23.63791666666667,2023-03-31 07:32:49,system,73,90,0,2
89,9892,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #832,20.9963,2023-03-30 07:33:02,system,58,85,0,1
90,10872,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1288,7.22525,2023-04-25 10:08:08,system,184,12,3,0
91,10812,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1285,2.19305,2023-04-24 09:36:13,system,184,12,3,0
92,10803,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1284,29.293083333333335,2023-04-23 05:00:45,system,178,17,3,1
93,10793,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1283,34.45526666666667,2023-04-22 04:53:08,system,185,11,3,0
94,10782,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1282,32.800066666666666,2023-04-21 04:52:46,system,180,16,3,0
95,10770,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1281,30.16385,2023-04-20 17:35:48,system,184,12,3,0
96,10718,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1280,29.8472,2023-04-20 04:51:53,system,176,18,3,0
97,10700,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1279,10.481050000000002,2023-04-19 18:27:55,system,175,21,3,0
98,10695,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1278,10.131,2023-04-19 17:22:05,system,173,22,3,1
99,10692,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1277,9.599016666666667,2023-04-19 16:33:56,system,176,20,3,0
100,10661,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1276,10.403250000000002,2023-04-19 04:56:18,system,168,21,3,0
101,10617,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1274,33.0606,2023-04-18 04:51:39,system,154,35,3,0
102,10570,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1273,33.60098333333333,2023-04-17 10:56:07,system,177,12,3,0
103,10553,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1272,31.175766666666668,2023-04-17 04:53:29,system,174,14,3,0
104,10547,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1271,32.262,2023-04-16 18:06:10,system,173,16,3,0
105,10540,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1270,32.02311666666667,2023-04-16 04:58:29,system,172,15,3,1
106,10529,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1269,32.71061666666667,2023-04-15 04:53:03,system,170,17,3,1
107,10520,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1268,31.217049999999997,2023-04-14 18:18:44,system,168,20,3,1
108,10488,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1266,39.997899999999994,2023-04-14 13:43:04,system,179,9,3,0
109,10484,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1264,1.22615,2023-04-14 12:25:16,system,173,16,3,0
110,10468,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1262,2.0919666666666665,2023-04-14 09:34:21,system,169,18,3,1
111,10388,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1261,32.092616666666665,2023-04-13 04:51:49,system,175,12,3,0
112,10326,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1259,6.3222499999999995,2023-04-12 09:28:50,system,172,27,3,1
113,10283,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1258,32.82201666666666,2023-04-11 04:51:55,system,171,15,3,2
114,10224,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1255,2.7499,2023-04-10 15:18:43,system,167,21,3,0
115,10213,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1254,29.114816666666666,2023-04-09 04:53:05,system,164,23,3,1
116,10192,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1253,31.981366666666666,2023-04-08 04:48:35,system,163,24,3,1
117,10137,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1252,9.500666666666666,2023-04-07 04:49:59,system,169,18,3,1
118,10097,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1250,8.488016666666667,2023-04-06 04:52:11,system,172,16,3,0
119,10059,ERP: Web,KazanExpress/ke-auto-tests - Run ERP Tests #test #1249,9.82035,2023-04-05 04:46:24,system,167,20,3,1
120,10873,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #514,0.7745333333333334,2023-04-25 05:27:39,system,8,0,0,0
121,10814,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #513,0.7765000000000001,2023-04-24 05:26:28,system,8,0,0,0
122,10802,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #512,0.87515,2023-04-23 04:59:13,system,8,0,0,0
123,10794,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #511,0.7748666666666666,2023-04-22 05:28:24,system,8,0,0,0
124,10783,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #510,0.7088,2023-04-21 05:26:23,system,8,0,0,0
125,10719,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #509,1.20775,2023-04-20 05:22:32,system,8,0,0,0
126,10660,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #508,0.9587666666666668,2023-04-19 04:54:36,system,8,0,0,0
127,10618,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #507,0.8738666666666667,2023-04-18 05:25:33,system,8,0,0,0
